source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
open3dsg,hard_drop,100,0.5319738167170192,0.020896273917421992,0.01299021307105667,0.0295885944509055,0.0,-0.12415160527720583,-0.1286581365893132,-0.11941436088293406,0.0,0.47184436215728787,1.0,0.5281556378427121,52121
open3dsg,mlp__identity,5,0.03700906344410876,0.0027693856998992905,0.0008033566975322912,0.0048414451881825015,0.04953095684803002,-0.47091932457786123,-0.4994399950332154,-0.4404148095847491,0.07055050774986638,0.2979362101313321,1.0,0.7020637898686679,2665
open3dsg,mlp__identity,10,0.11782477341389729,0.019133937562940587,0.013068727012696887,0.024797122601791007,0.04971857410881801,-0.2791744840525328,-0.297680375976347,-0.2594717071433342,0.07262263633872294,0.3153846153846154,1.0,0.6846153846153846,5330
open3dsg,mlp__identity,20,0.24672708962739173,0.04783484390735146,0.03852607965320831,0.05717936364137803,0.045590994371482174,-0.16435272045028143,-0.1750950883770199,-0.15344968076525453,0.06625766871165645,0.31191369606003755,1.0,0.6880863039399625,10660
open3dsg,mlp__identity,50,0.46701913393756295,0.06268882175226587,0.050182612469951336,0.07491421383266567,0.041297492115933324,-0.09742453821895179,-0.10311152116753614,-0.09131926302847833,0.06746396810794235,0.3878585373179156,1.0,0.6121414626820844,26636
open3dsg,mlp__identity,100,0.5989425981873112,0.08786505538771405,0.07279455320768762,0.10230554571314351,0.03713871730343934,-0.0870128879737665,-0.09130176564703192,-0.08241971037198512,0.06476063829787235,0.4265232974910394,1.0,0.5734767025089605,52452
open3dsg,source,5,0.03423967774420947,,,,0.5204502814258912,,,,0.7246603970741902,0.28180112570356475,1.0,0.7181988742964353,2665
open3dsg,source,10,0.0986908358509567,,,,0.32889305816135084,,,,0.47073039742212675,0.30131332082551593,1.0,0.698686679174484,5330
open3dsg,source,20,0.19889224572004027,,,,0.2099437148217636,,,,0.3033753558357056,0.3079737335834897,1.0,0.6920262664165103,10660
open3dsg,source,50,0.4043303121852971,,,,0.13872203033488512,,,,0.22713302188345216,0.389247634779997,1.0,0.610752365220003,26636
open3dsg,source,100,0.5110775427995972,,,,0.12415160527720583,,,,0.2126089653596265,0.4160565850682529,1.0,0.5839434149317472,52452
open3dsg,linear__identity,5,0.03726082578046324,0.003021148036253772,0.001094598928735363,0.004894703891286947,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.011676786548341896,0.19662288930581615,1.0,0.8033771106941838,2665
open3dsg,linear__identity,10,0.11379657603222558,0.015105740181268881,0.010385330095066989,0.020000129903871126,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.031031031031031032,0.25028142589118196,1.0,0.749718574108818,5330
open3dsg,linear__identity,20,0.23615307150050352,0.03726082578046325,0.029625879287111478,0.0446495806609887,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.043035691276897305,0.27195121951219514,1.0,0.7280487804878049,10660
open3dsg,linear__identity,50,0.4418429003021148,0.037512588116817736,0.029600122393716715,0.04495412809252676,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302,0.05402203530387395,0.366196125544376,1.0,0.6338038744556239,26636
open3dsg,linear__identity,100,0.5684793554884189,0.05740181268882172,0.046342555764666324,0.06864125628904925,0.03239151986578205,-0.09176008541142378,-0.09619342550294789,-0.0869382187746367,0.05476052343196029,0.4084877602379318,1.0,0.5915122397620681,52452
open3dsg,positive_density,5,0.04028197381671702,0.006042296072507551,0.002633597317351594,0.009606469956582238,0.02026266416510319,-0.5001876172607881,-0.532754261229871,-0.4671478469821249,0.032846715328467155,0.38311444652908067,1.0,0.6168855534709193,2665
open3dsg,positive_density,10,0.11555891238670694,0.016868076535750245,0.01071841633972074,0.02375553312305093,0.03452157598499062,-0.2943714821763602,-0.3148633991719855,-0.27418441280241934,0.05673758865248227,0.39155722326454034,1.0,0.6084427767354597,5330
open3dsg,positive_density,20,0.22608257804632426,0.027190332326283984,0.014531099989186134,0.039416572427264325,0.04296435272045028,-0.1669793621013133,-0.1787215138990116,-0.155437915085389,0.0670963961324348,0.3596622889305816,1.0,0.6403377110694184,10660
open3dsg,positive_density,50,0.4375629405840886,0.03323262839879154,0.018619498654975326,0.04837272045269066,0.050908544826550536,-0.08781348550833458,-0.09460038061203246,-0.08119156737198363,0.08621566632756866,0.4095209490914552,1.0,0.5904790509085448,26636
open3dsg,positive_density,100,0.5692346424974823,0.058157099697885184,0.042624475950930094,0.07545710190793009,0.06047433844276672,-0.06367726683443911,-0.06824835538136502,-0.05851701939995832,0.10786180631120783,0.439335011057729,1.0,0.560664988942271,52452
sgfn,hard_tail,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.03340184994861254,0.28978102189781024,1.0,0.7102189781021898,2740
sgfn,hard_tail,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0,0.05305780508237922,0.34653284671532847,1.0,0.6534671532846715,5480
sgfn,hard_tail,20,0.4911883182275932,0.0,0.0,0.0,0.02947080291970803,-0.0027372262773722594,-0.0045816545583367676,-0.0013463936717554516,0.04750698632151787,0.37965328467153286,1.0,0.6203467153284672,10960
sgfn,hard_tail,50,0.7404330312185297,0.0002517623363543775,0.0,0.0008006940741246832,0.02324817518248175,-0.015218978102189782,-0.017936334289813484,-0.012896450942953806,0.036989721851228154,0.3714963503649635,1.0,0.6285036496350365,27400
sgfn,hard_tail,100,0.9242195367573011,0.0007552870090633546,-0.0007954717002170596,0.0021807444305777133,0.02293795620437956,-0.040036496350364964,-0.04353181217867081,-0.03699643008148832,0.03769680611785875,0.391514598540146,1.0,0.608485401459854,54800
