source,method,k,kendall_tau_context_mean,kendall_tau_pair_weighted,jaccard_context_mean,jaccard_micro,intersection,union
vlsat,linear__temperature_2,5,0.8277050438491637,0.8258504665126555,0.9969586374695865,0.9963570127504554,2735,2745
vlsat,linear__temperature_2,10,0.8277050438491637,0.8258504665126555,0.9920371599203718,0.9912790697674418,5456,5504
vlsat,linear__temperature_2,20,0.8277050438491637,0.8258504665126555,0.989159629115199,0.9885693549850313,10897,11023
vlsat,linear__temperature_2,50,0.8277050438491637,0.8258504665126555,0.9783257596864584,0.9776967772203977,27091,27709
vlsat,linear__temperature_2,100,0.8277050438491637,0.8258504665126555,0.9605412601074514,0.9594171806561187,53665,55935
vlsat,linear__context_family_percentile,5,0.8834418760300456,0.8824436638938042,0.9496002780674312,0.9405099150141643,2656,2824
vlsat,linear__context_family_percentile,10,0.8834418760300456,0.8824436638938042,0.9157557770696457,0.9077458659704091,5215,5745
vlsat,linear__context_family_percentile,20,0.8834418760300456,0.8824436638938042,0.8881519939914101,0.8829997422901813,10279,11641
vlsat,linear__context_family_percentile,50,0.8834418760300456,0.8824436638938042,0.8922877885287486,0.8903070024146257,25810,28990
vlsat,linear__context_family_percentile,100,0.8834418760300456,0.8824436638938042,0.9006637093314711,0.8993813146630157,51897,57703
vlsat,mlp__identity,5,1.0,1.0,1.0,1.0,2740,2740
vlsat,mlp__identity,10,1.0,1.0,1.0,1.0,5480,5480
vlsat,mlp__identity,20,1.0,1.0,1.0,1.0,10960,10960
vlsat,mlp__identity,50,1.0,1.0,1.0,1.0,27400,27400
vlsat,mlp__identity,100,1.0,1.0,1.0,1.0,54800,54800
vlsat,mlp__power_0p5,5,0.9468026104937645,0.9463737009980808,0.9837504344803615,0.9804842790025298,2713,2767
vlsat,mlp__power_0p5,10,0.9468026104937645,0.9463737009980808,0.986783897367839,0.9855072463768116,5440,5520
vlsat,mlp__power_0p5,20,0.9468026104937645,0.9463737009980808,0.9824627926817708,0.9815584885192551,10858,11062
vlsat,mlp__power_0p5,50,0.9468026104937645,0.9463737009980808,0.9766700082792501,0.9761990623873061,27070,27730
vlsat,mlp__power_0p5,100,0.9468026104937645,0.9463737009980808,0.9698396896740997,0.9695227142035653,53952,55648
vlsat,mlp__power_2,5,0.953338056467859,0.9526575627164205,0.9920924574209247,0.9905557573556121,2727,2753
vlsat,mlp__power_2,10,0.953338056467859,0.9526575627164205,0.988719309887193,0.9876677548059485,5446,5514
vlsat,mlp__power_2,20,0.953338056467859,0.9526575627164205,0.9901728441874428,0.9896523554506671,10903,11017
vlsat,mlp__power_2,50,0.953338056467859,0.9526575627164205,0.9824986099117843,0.9821318768763337,27153,27647
vlsat,mlp__power_2,100,0.953338056467859,0.9526575627164205,0.9745277075893903,0.9742056344117012,54084,55516
vlsat,mlp__power_4,5,0.922125308548172,0.9208842319087733,0.9884428223844284,0.9862268938021022,2721,2759
vlsat,mlp__power_4,10,0.922125308548172,0.9208842319087733,0.9862862198628622,0.9847881202462876,5438,5522
vlsat,mlp__power_4,20,0.922125308548172,0.9208842319087733,0.9834086890576894,0.9824545536764041,10863,11057
vlsat,mlp__power_4,50,0.922125308548172,0.9208842319087733,0.9710668084504535,0.9703016574982921,26987,27813
vlsat,mlp__power_4,100,0.922125308548172,0.9208842319087733,0.9564511863976403,0.9557807955174075,53561,56039
vlsat,mlp__temperature_0p5,5,0.8380204666040356,0.8361243729923449,0.9843587069864442,0.9812002892263196,2714,2766
