source,condition,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
vlsat,proximity_2.0,10,0.6341893252769386,0.5910987672018349,0.6776376935298221,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,proximity_2.0,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,proximity_2.0,50,0.9279959718026183,0.8840199005601342,0.963563265620967,0.01970802919708029,0.017272478433974784,0.02241021090765043
vlsat,proximity_2.0,100,0.966012084592145,0.9304060999330547,0.9933704363573066,0.029434306569343066,0.026789603005345643,0.03196900724767359
vlsat,proximity_3.0,5,0.4201913393756294,0.3887705711808742,0.45361688832973085,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,proximity_3.0,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,proximity_3.0,20,0.8081570996978852,0.7608476481334412,0.8544696249787883,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,proximity_3.0,50,0.9274924471299094,0.8832294810703474,0.9628285350384044,0.019781021897810218,0.01731552500429627,0.022453090316315205
vlsat,proximity_3.0,100,0.9652567975830816,0.9285825955484962,0.9933704363573066,0.02958029197080292,0.026926851455479454,0.032086694069329416
vlsat,vertical_0.20m,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,vertical_0.20m,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,vertical_0.20m,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.01104014598540146,0.008768295517362681,0.013598957432912655
vlsat,vertical_0.20m,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.01937956204379562,0.01693642415932356,0.021980962369127395
vlsat,vertical_0.20m,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.028905109489051097,0.026333230068768934,0.031393057036247334
vlsat,vertical_0.30m,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.0018248175182481751,0.00036830719857003575,0.0034617052023121386
vlsat,vertical_0.30m,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.006021897810218978,0.003753496771140678,0.008568527811970665
vlsat,vertical_0.30m,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011587591240875912,0.009134841676443973,0.014179537579957357
vlsat,vertical_0.30m,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.020437956204379562,0.01783480831618237,0.02319719059401705
vlsat,vertical_0.30m,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.0306021897810219,0.027876709221092408,0.033168179710351714
open3dsg,default,5,0.03726082578046324,0.03020464738662061,0.04445899768373587,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,default,10,0.11379657603222558,0.10150012682627212,0.126460260366681,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,default,20,0.23615307150050352,0.21464366792930184,0.2581843559519009,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,default,50,0.4418429003021148,0.41164789493343296,0.47083107966797194,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,default,100,0.5684793554884189,0.5402531853122805,0.5960695013778675,0.03239151986578205,0.02962509860977727,0.035495294899230014
open3dsg,negative_cap_1,5,0.03700906344410876,0.029833295754459085,0.044276145944882904,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,negative_cap_1,10,0.11278952668680765,0.09985295314799926,0.1258669984194014,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,negative_cap_1,20,0.23741188318227593,0.2158551946567714,0.259260950227556,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,negative_cap_1,50,0.4428499496475327,0.41244996903668535,0.4720008757518727,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,negative_cap_1,100,0.5699899295065458,0.5410911591347441,0.5977670995700313,0.03239151986578205,0.02962509860977727,0.035495294899230014
open3dsg,negative_cap_4,5,0.03726082578046324,0.03020464738662061,0.04445899768373587,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,negative_cap_4,10,0.11329305135951662,0.10115521355152095,0.12583731477634677,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,negative_cap_4,20,0.23564954682779457,0.21401823659264316,0.2568883035555104,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,negative_cap_4,50,0.4415911379657603,0.41130000975211123,0.47051931455811236,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,negative_cap_4,100,0.5669687814702921,0.5381397090860688,0.5945837390156105,0.03239151986578205,0.02962509860977727,0.035495294899230014
open3dsg,pair_weight_0.125,5,0.03726082578046324,0.03020464738662061,0.04445899768373587,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,pair_weight_0.125,10,0.11354481369587109,0.10102425753349804,0.1261251867577333,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,pair_weight_0.125,20,0.23590130916414903,0.2144382049953324,0.2581132119554658,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,pair_weight_0.125,50,0.4420946626384693,0.4118918220382036,0.47105259111918285,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,pair_weight_0.125,100,0.5689828801611279,0.5406099277449237,0.5964648150783313,0.03241058491573248,0.02964207481251228,0.03549581538557245
open3dsg,pair_weight_0.5,5,0.03726082578046324,0.03020464738662061,0.04445899768373587,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,pair_weight_0.5,10,0.11379657603222558,0.10088878739135902,0.12661349893666957,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,pair_weight_0.5,20,0.23615307150050352,0.2148396902540127,0.25836250271433003,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,pair_weight_0.5,50,0.4420946626384693,0.412189966260313,0.47107030624607865,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,pair_weight_0.5,100,0.5682275931520645,0.539768802674075,0.5957322409276462,0.03241058491573248,0.029625103330610306,0.035495294899230014
open3dsg,proximity_2.0,5,0.03726082578046324,0.03020464738662061,0.04445899768373587,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,proximity_2.0,10,0.11304128902316213,0.09997693747287312,0.12585876958478562,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,proximity_2.0,20,0.2348942598187311,0.21311065465890505,0.25687069024339,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,proximity_2.0,50,0.4436052366565962,0.41388334954604405,0.47255980960982996,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,proximity_2.0,100,0.5720040281973817,0.5434974154135338,0.5990777389820395,0.03239151986578205,0.02962509860977727,0.035495294899230014
open3dsg,proximity_3.0,5,0.03751258811681772,0.030391512841706023,0.0448013067210087,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,proximity_3.0,10,0.11379657603222558,0.10056268594004746,0.12719080939822552,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,proximity_3.0,20,0.23716012084592145,0.21512368620638106,0.2588625492457013,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,proximity_3.0,50,0.4425981873111782,0.41182478084612456,0.47303778671382496,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,proximity_3.0,100,0.5662134944612286,0.5386677413528261,0.5927160672302055,0.03239151986578205,0.02962509860977727,0.035495294899230014
open3dsg,vertical_0.20m,5,0.03751258811681772,0.030344799807400274,0.04462739770449275,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,vertical_0.20m,10,0.11329305135951662,0.10043735230454555,0.12584259052769492,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,vertical_0.20m,20,0.2351460221550856,0.21363078472258645,0.2569000540223781,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,vertical_0.20m,50,0.44108761329305135,0.40999739267523644,0.4703259848346276,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,vertical_0.20m,100,0.567472306143001,0.5393594193163158,0.594441715076258,0.03241058491573248,0.029625103330610306,0.035495294899230014
open3dsg,vertical_0.30m,5,0.0377643504531722,0.030667714778206165,0.044920929372712394,0.009380863039399626,0.005353473063506195,0.01357159239842726
open3dsg,vertical_0.30m,10,0.11455186304128902,0.10197599611904619,0.1272866953990435,0.02326454033771107,0.017675855513307987,0.028942821163954812
open3dsg,vertical_0.30m,20,0.23716012084592145,0.2153325356248838,0.25939758887932096,0.031332082551594746,0.026144265814183346,0.03615245210180155
open3dsg,vertical_0.30m,50,0.44385699899295067,0.4143227527187629,0.47345898096634653,0.03423937528157381,0.031117860700108645,0.03720599294411312
open3dsg,vertical_0.30m,100,0.5672205438066465,0.5378907176347406,0.5959835833817632,0.03241058491573248,0.02964207481251228,0.03549581538557245
sgfn,default,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,default,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,default,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,default,50,0.7449647532729103,0.706175686352367,0.7821749956441864,0.026313868613138686,0.023722467449201024,0.029200334349077362
sgfn,default,100,0.9302618328298087,0.8942633038452954,0.9611274530285598,0.03501824817518248,0.03228552748776126,0.038132122323458056
sgfn,negative_cap_1,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,negative_cap_1,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,negative_cap_1,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,negative_cap_1,50,0.7447129909365559,0.7057407099344883,0.7818968098534755,0.026313868613138686,0.023722467449201024,0.029200334349077362
sgfn,negative_cap_1,100,0.9292547834843907,0.89369412308968,0.960289911851379,0.035036496350364967,0.03230806148322381,0.038149318090653826
sgfn,negative_cap_4,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,negative_cap_4,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,negative_cap_4,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,negative_cap_4,50,0.7454682779456193,0.706680112295527,0.7827379652725857,0.026313868613138686,0.023722467449201024,0.029200334349077362
sgfn,negative_cap_4,100,0.9305135951661632,0.8948923925349127,0.9613645070535594,0.03501824817518248,0.03228552748776126,0.038132122323458056
sgfn,pair_weight_0.125,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,pair_weight_0.125,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,pair_weight_0.125,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,pair_weight_0.125,50,0.7449647532729103,0.706175686352367,0.7821749956441864,0.02635036496350365,0.023758051390806865,0.029239409400123685
sgfn,pair_weight_0.125,100,0.9302618328298087,0.8942633038452954,0.9611274530285598,0.03510948905109489,0.03236376250369307,0.038266010996049954
sgfn,pair_weight_0.5,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
