source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
vlsat,mlp__context_family_percentile,50,0.9282477341389728,0.001007049345417843,-0.0035905507426098743,0.005739995475973322,0.01613138686131387,-0.01062043795620438,-0.013083385838898924,-0.008479925544100804,0.0220349967595593,0.26791970802919707,1.0,0.7320802919708029,27400
vlsat,mlp__context_family_percentile,100,0.9682779456193353,0.004783484390735171,-0.0016990022312546621,0.012438856616485553,0.022025547445255474,-0.02562043795620438,-0.028379076326458662,-0.023365012886597942,0.03340251833402518,0.3406021897810219,1.0,0.6593978102189781,54800
vlsat,mlp__power_0p5,5,0.4214501510574018,0.0020140986908358527,0.0,0.004079799658409934,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__power_0p5,10,0.6362034239677744,0.004028197381671705,0.0017836453436375992,0.006595100300655345,0.004744525547445255,-0.0034671532846715335,-0.006017699115044247,-0.0012914534532085656,0.005530738140821102,0.14215328467153285,1.0,0.8578467153284671,5480
vlsat,mlp__power_0p5,20,0.8101711983887211,0.0027693856998993738,0.0012589866403574484,0.004665539781600697,0.010310218978102189,-0.003923357664233577,-0.005919919381180032,-0.002276393615966691,0.012683802895947918,0.18713503649635035,1.0,0.8128649635036497,10960
vlsat,mlp__power_0p5,50,0.9279959718026183,0.0007552870090633546,-0.00026358450151105494,0.0018745079275176624,0.0172992700729927,-0.009452554744525547,-0.011654387125220458,-0.007466974291364537,0.023784434743338852,0.2726642335766423,1.0,0.7273357664233576,27400
vlsat,mlp__power_0p5,100,0.9652567975830816,0.0017623363544814197,-0.0005162781529279237,0.004183447433828987,0.026204379562043797,-0.021441605839416056,-0.023748016639088064,-0.019470447738843964,0.039967714102813884,0.34436131386861313,1.0,0.6556386861313869,54800
vlsat,mlp__identity,5,0.4209466263846928,0.0015105740181268756,0.0,0.0032773256931026822,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__identity,10,0.6346928499496476,0.0025176233635448853,0.0007367760427136827,0.004636123788799751,0.0051094890510948905,-0.003102189781021898,-0.005254557740970784,-0.001144714100532911,0.005957446808510639,0.14233576642335766,1.0,0.8576642335766423,5480
vlsat,mlp__identity,20,0.8091641490433031,0.0017623363544814197,0.0005134656494984069,0.003357611796964521,0.010948905109489052,-0.003284671532846714,-0.00486643332432615,-0.001972684646699622,0.013480116827679174,0.18777372262773723,1.0,0.8122262773722628,10960
