source,method,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
open3dsg,routed_rank_average,50,0.43202416918429004,0.4042539621426404,0.46210441975934247,0.04602793212194023,0.04216098901098901,0.05002623593439572
open3dsg,routed_rank_average,100,0.5400302114803626,0.5110307286364918,0.5693260871819062,0.05494547395714177,0.05099769086246426,0.05883442754258174
open3dsg,routed_rrf,5,0.03575025176233636,0.02860782970047457,0.04323437672808456,0.19587242026266416,0.17445743760328525,0.219532922922247
open3dsg,routed_rrf,10,0.1067472306143001,0.09433801531036494,0.11930483006083623,0.1647279549718574,0.14791819847265392,0.18178706454226304
open3dsg,routed_rrf,20,0.21576032225579053,0.19539345577001127,0.23666853247828407,0.13602251407129456,0.12642338322313984,0.14649467871202607
open3dsg,routed_rrf,50,0.4244712990936556,0.3948143036435298,0.4565397316721513,0.0960354407568704,0.09037087194301462,0.1015183079387031
open3dsg,routed_rrf,100,0.5468277945619335,0.5198149830918478,0.575943105305512,0.07799511934721269,0.0739221918302523,0.08184604096773525
open3dsg,routed_matched_mlp,5,0.03700906344410876,0.030053675270886503,0.044065377188629296,0.04953095684803002,0.03858834666504456,0.062197781691372855
open3dsg,routed_matched_mlp,10,0.11782477341389729,0.10496729837409972,0.1316181631029804,0.04971857410881801,0.04151881977671452,0.05932952425373134
open3dsg,routed_matched_mlp,20,0.24672708962739173,0.22574248587105705,0.2692647144621599,0.045590994371482174,0.04003506545101947,0.05219694708801716
open3dsg,routed_matched_mlp,50,0.46701913393756295,0.43703936406384886,0.4971660495614933,0.041297492115933324,0.0381236969424909,0.044885060289472055
open3dsg,routed_matched_mlp,100,0.5989425981873112,0.568211308975217,0.6320459157341909,0.03713871730343934,0.03415393778141841,0.04005573123818208
sgfn,source_score,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,source_score,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.034854014598540144,0.028863965453499837,0.040588289559366185
sgfn,source_score,20,0.4911883182275932,0.4601074871348928,0.5212718603656369,0.03220802919708029,0.027957734087017096,0.03693970531717096
sgfn,source_score,50,0.7401812688821753,0.7037006685539878,0.7730803413143434,0.03846715328467153,0.03496353400550935,0.04224772628135223
sgfn,source_score,100,0.9234642497482377,0.8901156787811928,0.9518074721497024,0.06297445255474453,0.05929541949742745,0.06727149725274725
sgfn,routed_product,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,routed_product,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,routed_product,20,0.4914400805639476,0.4606296581922173,0.5215547394180561,0.029744525547445257,0.02556528835190702,0.03402290991239566
sgfn,routed_product,50,0.7449647532729103,0.7085377830198571,0.7784243179853569,0.026313868613138686,0.023877527796753298,0.029111844956289688
sgfn,routed_product,100,0.9302618328298087,0.8971812196691454,0.9591371111882477,0.03501824817518248,0.03230485188735223,0.03791144994969819
sgfn,routed_rank_average,5,0.3109264853977845,0.2847919294462302,0.3355512861836339,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,routed_rank_average,10,0.38796576032225577,0.35751026407315273,0.41658817184138,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,routed_rank_average,20,0.4662638469284995,0.4350161756070526,0.49597375068055444,0.02947080291970803,0.025428254555056772,0.03371450411099692
sgfn,routed_rank_average,50,0.7021651560926485,0.6664153471815556,0.7353380241795415,0.02354014598540146,0.02121762651555087,0.02605360452186805
sgfn,routed_rank_average,100,0.9272406847935549,0.8945489098268663,0.953579279602373,0.02604014598540146,0.0237167171542323,0.028577560698253176
sgfn,routed_rrf,5,0.3114300100704935,0.2856727730597954,0.33579757801424387,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,routed_rrf,10,0.3894763343403827,0.3591438517839901,0.41803282074114906,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,routed_rrf,20,0.47079556898288016,0.4402698659815405,0.5023121186740418,0.029744525547445257,0.025693132831038253,0.034000821167883215
sgfn,routed_rrf,50,0.6850453172205438,0.6527572923746338,0.7163645607232824,0.025437956204379563,0.02295492449745119,0.028289044423095138
sgfn,routed_rrf,100,0.8799093655589124,0.8504006373574557,0.9053920018696213,0.030675182481751825,0.028359828022117936,0.033283924969745866
sgfn,routed_matched_mlp,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,routed_matched_mlp,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,routed_matched_mlp,20,0.4919436052366566,0.4613396780312335,0.5227009414334103,0.029562043795620437,0.025605416408163786,0.03380449409347714
sgfn,routed_matched_mlp,50,0.7457200402819738,0.7088901038421244,0.7796158641777801,0.025766423357664235,0.023356993251846193,0.028380881030866046
sgfn,routed_matched_mlp,100,0.9287512588116817,0.8948309621444864,0.9574700144934075,0.035036496350364967,0.03227170933920731,0.03780620250516285
