source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
open3dsg,point,relcompat3d,100,0.5989425981873112,0.5032467532467533,0.13985113659223497,0.13172041719845046,0.14815185073052972,0.9827995255041518,0.10609535304767652,-0.2866158906093148,-0.29997147471838304,-0.2726346871250939,25290,18742,2637,3476,435
open3dsg,mesh,source,5,0.03423967774420947,0.00463821892393321,0.8388734995383195,0.8179648789735948,0.8594596373738216,0.9922125515345854,0.01569713758079409,,,,2183,315,34,1817,17
open3dsg,mesh,source,10,0.0986908358509567,0.03200371057513915,0.6593959731543624,0.6376120937119977,0.6787274281575908,0.98866463920376,0.042505592841163314,,,,3617,1066,152,2358,41
open3dsg,mesh,source,20,0.19889224572004027,0.11456400742115028,0.5506819590824551,0.5324705017199344,0.5674405745349738,0.9851885784089174,0.07997520148791072,,,,6549,2383,516,3553,97
open3dsg,mesh,source,50,0.4043303121852971,0.22634508348794063,0.4784963364128703,0.4601029351009268,0.4966920636633651,0.9807076466453175,0.09827970691302963,,,,12803,5314,1234,6008,247
open3dsg,mesh,source,100,0.5110775427995972,0.34137291280148424,0.4304654442877292,0.4193555210812464,0.44126897768925416,0.9812178726769474,0.10082611323796091,,,,25290,11631,2502,10682,475
open3dsg,mesh,relcompat3d,5,0.03700906344410876,0.00974025974025974,0.17516218721038,0.15414067198617895,0.19754044756459171,0.9885478699038021,0.026876737720111215,-0.6637113123279395,-0.6852907990927071,-0.6379631668172132,2183,1722,58,378,25
open3dsg,mesh,relcompat3d,10,0.11782477341389729,0.06725417439703155,0.13825916596697452,0.1243811244600814,0.15313333410383914,0.9878352225601327,0.04114189756507137,-0.5211368071873879,-0.5411298485484515,-0.5007365790047428,3617,2932,147,494,44
open3dsg,mesh,relcompat3d,20,0.24672708962739173,0.20269016697588127,0.1006949806949807,0.09293704010294213,0.10954134101252201,0.9887005649717514,0.07598455598455599,-0.44998697838747437,-0.4673665223654936,-0.43178681540868996,6549,5331,492,652,74
open3dsg,mesh,relcompat3d,50,0.46701913393756295,0.34183673469387754,0.10269200316706255,0.0958276927455985,0.10966386524478984,0.9864875419823479,0.09683293745051465,-0.37580433324580775,-0.393768609809408,-0.35780651035361166,12803,10110,1223,1297,173
open3dsg,mesh,relcompat3d,100,0.5989425981873112,0.5032467532467533,0.14380921792195278,0.1361947592283833,0.15207683396203175,0.9848952155001977,0.11277501204432311,-0.2866562263657764,-0.30070820893615313,-0.27264946159079617,25290,18517,2809,3582,382
open3dsg,consensus,source,5,0.03423967774420947,0.00463821892393321,0.8320222119389171,0.8112707212740168,0.8518572587185725,0.9899221255153459,0.024062933826931976,,,,2183,311,52,1798,22
open3dsg,consensus,source,10,0.0986908358509567,0.03200371057513915,0.6518207282913165,0.6301917005323978,0.6711914953728565,0.9870058059165054,0.054901960784313725,,,,3617,1047,196,2327,47
open3dsg,consensus,source,20,0.19889224572004027,0.11456400742115028,0.5379835327015691,0.5188549594553022,0.5557196724556265,0.9828981523896778,0.10330899487338822,,,,6549,2309,665,3463,112
open3dsg,consensus,source,50,0.4043303121852971,0.22634508348794063,0.45957820738137084,0.441259508352247,0.4780485790179079,0.9777395922830586,0.1308515737338233,,,,12803,5127,1638,5753,285
open3dsg,consensus,source,100,0.5110775427995972,0.34137291280148424,0.40874171114345786,0.3971841480193157,0.4198181551431083,0.9779359430604982,0.13828238719068414,,,,25290,11203,3420,10109,558
open3dsg,consensus,relcompat3d,5,0.03700906344410876,0.00974025974025974,0.16844547563805104,0.14795745168436328,0.19200295566502462,0.9871736142922584,0.041299303944315545,-0.6635767363008661,-0.6856904609493363,-0.6377677736025096,2183,1703,89,363,28
open3dsg,consensus,relcompat3d,10,0.11782477341389729,0.06725417439703155,0.13176338659938325,0.1181716815556462,0.14674131250116118,0.9861763892728781,0.05831230726100364,-0.5200573416919333,-0.5405498035758515,-0.49976421787554676,3617,2889,208,470,50
open3dsg,consensus,relcompat3d,20,0.24672708962739173,0.20269016697588127,0.09171185127807902,0.08339925090594406,0.10094317461884662,0.9856466636127653,0.10038729666924864,-0.44627168142349005,-0.46412857883360104,-0.42776899726634626,6549,5215,648,592,94
open3dsg,consensus,relcompat3d,50,0.46701913393756295,0.34183673469387754,0.08840349483717236,0.08157504182153912,0.09508605334162419,0.9833632742326017,0.12859412231930104,-0.3711747125441985,-0.38958294930488685,-0.3527684763246159,12803,9858,1619,1113,213
open3dsg,consensus,relcompat3d,100,0.5989425981873112,0.5032467532467533,0.12315687696398356,0.11560784561662607,0.1314466880021204,0.9814946619217082,0.155265490290871,-0.28558483417947433,-0.2995694673956399,-0.2711531701873375,25290,17911,3854,3057,468
sgfn,point,source,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,,,,59,54,0,0,5
sgfn,point,source,10,0.39753272910372606,0.03525046382189239,0.03056768558951965,0.014582575363825364,0.048425360075380265,0.9443298969072165,0.08296943231441048,,,,485,406,38,14,27
sgfn,point,source,20,0.4911883182275932,0.14842300556586271,0.06678966789667896,0.055148080212900116,0.08048455917390011,0.9613338063142959,0.09778597785977859,,,,2819,2264,265,181,109
