source,family,method,k,selected,recall,recall_numerator,recall_denominator,violation,violation_numerator,violation_denominator
vlsat,proximity,linear_all_families,100,17104,0.9586636466591166,1693,1766,0.0006431244153414406,11,17104
vlsat,proximity,mlp_family_slots,5,1064,0.32842582106455265,580,1766,0.0,0,1064
vlsat,proximity,mlp_family_slots,10,2519,0.6194790486976217,1094,1766,0.0,0,2519
vlsat,proximity,mlp_family_slots,20,4906,0.8329558323895809,1471,1766,0.0,0,4906
vlsat,proximity,mlp_family_slots,50,10133,0.9280860702151755,1639,1766,9.868745682423764e-05,1,10133
vlsat,proximity,mlp_family_slots,100,16513,0.9546998867497168,1686,1766,0.0013322836553018834,22,16513
vlsat,proximity,mlp_pv_global,5,1053,0.32559456398640996,575,1766,0.0,0,1053
vlsat,proximity,mlp_pv_global,10,2508,0.616647791619479,1089,1766,0.0,0,2508
vlsat,proximity,mlp_pv_global,20,4884,0.8335220838052095,1472,1766,0.0,0,4884
vlsat,proximity,mlp_pv_global,50,9995,0.9280860702151755,1639,1766,0.0,0,9995
vlsat,proximity,mlp_pv_global,100,16240,0.9546998867497168,1686,1766,0.0009236453201970443,15,16240
vlsat,proximity,mlp_support_order_only,5,1027,0.3199320498301246,565,1766,0.0,0,1027
vlsat,proximity,mlp_support_order_only,10,2469,0.6160815402038505,1088,1766,0.0,0,2469
vlsat,proximity,mlp_support_order_only,20,4807,0.8335220838052095,1472,1766,0.0,0,4807
vlsat,proximity,mlp_support_order_only,50,9731,0.9280860702151755,1639,1766,0.0,0,9731
vlsat,proximity,mlp_support_order_only,100,15492,0.9530011325028312,1683,1766,0.00045184611412341856,7,15492
vlsat,proximity,mlp_all_families,5,1134,0.34994337485843713,618,1766,0.0,0,1134
vlsat,proximity,mlp_all_families,10,2589,0.6257078142695357,1105,1766,0.0,0,2589
vlsat,proximity,mlp_all_families,20,5009,0.8391845979614949,1482,1766,0.0,0,5009
vlsat,proximity,mlp_all_families,50,10403,0.9292185730464326,1641,1766,9.612611746611554e-05,1,10403
vlsat,proximity,mlp_all_families,100,17249,0.9580973952434881,1692,1766,0.0011015131311960114,19,17249
vlsat,relative_vertical,source,5,159,0.14358974358974358,56,390,0.025157232704402517,4,159
vlsat,relative_vertical,source,10,496,0.2564102564102564,100,390,0.038306451612903226,19,496
vlsat,relative_vertical,source,20,1592,0.5487179487179488,214,390,0.029522613065326633,47,1592
vlsat,relative_vertical,source,50,6152,0.9102564102564102,355,390,0.045513654096228866,280,6152
