source,method,k,recall,recall_delta,recall_delta_ci_low,recall_delta_ci_high,violation,violation_delta,violation_delta_ci_low,violation_delta_ci_high
open3dsg,linear_pv_global,50,0.4476334340382679,0.043303121852970805,0.03425344676821062,0.051524828354054565,0.033901486709716176,-0.10482054362516893,-0.11085053385782523,-0.09896050780623922
open3dsg,linear_pv_global,100,0.5782980866062437,0.06722054380664655,0.05323696940943383,0.08114713771541525,0.030751925570044993,-0.09339967970716083,-0.09748771924570958,-0.08876416323092326
open3dsg,linear_support_order_only,5,0.09365558912386707,0.0594159113796576,0.049456259899384056,0.06976191352189688,0.04652908067542214,-0.47392120075046906,-0.5056823582786035,-0.4385290444587169
open3dsg,linear_support_order_only,10,0.16842900302114805,0.06973816717019135,0.059284185627393564,0.08123550582384505,0.05403377110694184,-0.274859287054409,-0.29564496098413784,-0.25335506460236507
open3dsg,linear_support_order_only,20,0.29254783484390734,0.09365558912386707,0.07642027817667607,0.11106113744479507,0.06210131332082552,-0.14784240150093808,-0.15899768477093773,-0.13721274553241766
open3dsg,linear_support_order_only,50,0.43705941591137965,0.032729103726082565,0.023260000953989175,0.042321150520405575,0.040096110527106175,-0.09862591980777893,-0.10445801302488991,-0.09306589395469983
open3dsg,linear_support_order_only,100,0.5445619335347432,0.033484390735146086,0.020797607115833894,0.046092436207309025,0.032048348966674294,-0.09210325631053154,-0.09623959502426488,-0.08752967790195758
open3dsg,linear_all_families,5,0.09944612286002014,0.06520644511581067,0.05462544823436527,0.07683375870484557,0.03977485928705441,-0.4806754221388368,-0.5128323167579861,-0.44826405951874376
open3dsg,linear_all_families,10,0.19637462235649547,0.09768378650553877,0.08243335864828268,0.11513815931186007,0.045403377110694185,-0.28348968105065664,-0.30314066154360175,-0.263685656403084
open3dsg,linear_all_families,20,0.3280463242698892,0.12915407854984895,0.10902973759150603,0.15078883776165555,0.04371482176360225,-0.16622889305816135,-0.17635005839949555,-0.15635130715420958
open3dsg,linear_all_families,50,0.46424974823766363,0.05991943605236655,0.04308558364589299,0.07775715678156118,0.026918456224658358,-0.11180357411022676,-0.11775990362519026,-0.105552693847834
open3dsg,linear_all_families,100,0.600453172205438,0.08937562940584087,0.06441064708553253,0.11178897526629031,0.03313505681384885,-0.09101654846335697,-0.09581033811659477,-0.0854443352527352
open3dsg,mlp_family_slots,5,0.03700906344410876,0.0027693856998992905,0.0008033566975322912,0.0048414451881825015,0.04953095684803002,-0.47091932457786123,-0.4994399950332154,-0.4404148095847491
open3dsg,mlp_family_slots,10,0.11782477341389729,0.019133937562940587,0.013068727012696887,0.024797122601791007,0.04971857410881801,-0.2791744840525328,-0.297680375976347,-0.2594717071433342
open3dsg,mlp_family_slots,20,0.24672708962739173,0.04783484390735146,0.03852607965320831,0.05717936364137803,0.045590994371482174,-0.16435272045028143,-0.1750950883770199,-0.15344968076525453
open3dsg,mlp_family_slots,50,0.46701913393756295,0.06268882175226587,0.050182612469951336,0.07491421383266567,0.041297492115933324,-0.09742453821895179,-0.10311152116753614,-0.09131926302847833
open3dsg,mlp_family_slots,100,0.5989425981873112,0.08786505538771405,0.07279455320768762,0.10230554571314351,0.03713871730343934,-0.0870128879737665,-0.09130176564703192,-0.08241971037198512
open3dsg,mlp_pv_global,5,0.07477341389728097,0.0405337361530715,0.032718432207509376,0.04893193901288857,0.04165103189493433,-0.47879924953095687,-0.5080219221835076,-0.44856831119544593
open3dsg,mlp_pv_global,10,0.148539778449144,0.04984894259818731,0.04040330739255069,0.059414483970233196,0.04765478424015009,-0.28123827392120077,-0.30017910903617084,-0.2621737011515097
open3dsg,mlp_pv_global,20,0.2391742195367573,0.040281973816717026,0.029175414821224207,0.050481703367875636,0.04662288930581614,-0.16332082551594745,-0.17415628645732065,-0.1522719204071663
open3dsg,mlp_pv_global,50,0.4378147029204431,0.03348439073514603,0.023574968575464796,0.04287346185644219,0.04156029433848926,-0.09716173599639585,-0.10278948121304597,-0.09117957636859496
open3dsg,mlp_pv_global,100,0.5609264853977844,0.049848942598187285,0.03711670745831918,0.061910314234176894,0.03679554640433158,-0.08735605887287425,-0.09142652538747507,-0.08291609716682045
open3dsg,mlp_support_order_only,5,0.07880161127895267,0.044561933534743206,0.03668045318078399,0.05271713925760923,0.057410881801125704,-0.46303939962476554,-0.4937862378116616,-0.42882819227151703
open3dsg,mlp_support_order_only,10,0.16012084592145015,0.06143001007049345,0.05111993997060143,0.07350982424883888,0.07204502814258912,-0.2568480300187617,-0.2780496157701303,-0.23523459252716986
open3dsg,mlp_support_order_only,20,0.2814702920443102,0.0825780463242699,0.06690451298135565,0.09937590697764,0.07579737335834896,-0.13414634146341464,-0.14404745410150654,-0.12385768622801818
open3dsg,mlp_support_order_only,50,0.41515609264853975,0.010825780463242674,0.0028930008741766323,0.020659334721581483,0.045990388947289386,-0.09273164138759574,-0.09808432807952816,-0.08735762713066594
open3dsg,mlp_support_order_only,100,0.5294561933534743,0.018378650553877107,0.009339250340090087,0.028056692367190245,0.0374246930526958,-0.08672691222451002,-0.09084637401403273,-0.08223219979449839
open3dsg,mlp_all_families,5,0.09164149043303121,0.057401812688821746,0.04791040189736466,0.06788832195194247,0.06378986866791744,-0.45666041275797375,-0.4855642507781236,-0.42448663506484957
open3dsg,mlp_all_families,10,0.19436052366565962,0.09566968781470292,0.07936328828780387,0.11227701824114829,0.07298311444652908,-0.2559099437148218,-0.27363589057389237,-0.236741416827853
open3dsg,mlp_all_families,20,0.3330815709969788,0.13418932527693855,0.11286172823170558,0.15865406038727556,0.05909943714821764,-0.15084427767354597,-0.15995354003554446,-0.14043036670341627
open3dsg,mlp_all_families,50,0.4861530715005035,0.08182275931520644,0.061923310024699627,0.10136628347382565,0.03596636131551284,-0.10275566901937228,-0.1087917349260978,-0.09635860203486131
