source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
open3dsg,point,relcompat3d,100,0.5684793554884189,0.44712430426716143,0.10254448828408085,0.09348323791268454,0.11216266902722108,0.98212732305259,0.10910701344713745,-0.3239225389174689,-0.3381771678147766,-0.30875772461059314,25290,19581,2710,2547,452
open3dsg,mesh,source,5,0.03423967774420947,0.00463821892393321,0.8388734995383195,0.8179648789735948,0.8594596373738216,0.9922125515345854,0.01569713758079409,,,,2183,315,34,1817,17
open3dsg,mesh,source,10,0.0986908358509567,0.03200371057513915,0.6593959731543624,0.6376120937119977,0.6787274281575908,0.98866463920376,0.042505592841163314,,,,3617,1066,152,2358,41
open3dsg,mesh,source,20,0.19889224572004027,0.11456400742115028,0.5506819590824551,0.5324705017199344,0.5674405745349738,0.9851885784089174,0.07997520148791072,,,,6549,2383,516,3553,97
open3dsg,mesh,source,50,0.4043303121852971,0.22634508348794063,0.4784963364128703,0.4601029351009268,0.4966920636633651,0.9807076466453175,0.09827970691302963,,,,12803,5314,1234,6008,247
open3dsg,mesh,source,100,0.5110775427995972,0.34137291280148424,0.4304654442877292,0.4193555210812464,0.44126897768925416,0.9812178726769474,0.10082611323796091,,,,25290,11631,2502,10682,475
open3dsg,mesh,relcompat3d,5,0.03726082578046324,0.01020408163265306,0.016248839368616527,0.010255847953216374,0.023131636754746557,0.9867155290884104,0.017177344475394613,-0.8226246601697029,-0.8428545981927432,-0.8014702146884176,2183,2082,37,35,29
open3dsg,mesh,relcompat3d,10,0.11379657603222558,0.05983302411873841,0.02100840336134454,0.015786722168280313,0.026403801044144932,0.9870058059165054,0.040336134453781515,-0.6383875697930178,-0.6586587589011178,-0.6164373778836023,3617,3351,144,75,47
open3dsg,mesh,relcompat3d,20,0.23615307150050352,0.18320964749536178,0.0392520475969711,0.034152913161108106,0.044240111973279574,0.9880897846999542,0.09163962293308607,-0.511429911485484,-0.5294974750339634,-0.49313355337957965,6549,5624,593,254,78
open3dsg,mesh,relcompat3d,50,0.4418429003021148,0.29545454545454547,0.06571020925808498,0.05852461306125214,0.07200844232064982,0.9853940482699367,0.11350665821179455,-0.41278612715478535,-0.42925074420373727,-0.3953140788408029,12803,10355,1432,829,187
open3dsg,mesh,relcompat3d,100,0.5684793554884189,0.44712430426716143,0.10765088804950575,0.0993852108373739,0.11680066064226595,0.9840253064452352,0.11645101663585952,-0.32281455623822347,-0.33662669718946453,-0.3085504903172314,25290,19309,2898,2679,404
open3dsg,consensus,source,5,0.03423967774420947,0.00463821892393321,0.8320222119389171,0.8112707212740168,0.8518572587185725,0.9899221255153459,0.024062933826931976,,,,2183,311,52,1798,22
open3dsg,consensus,source,10,0.0986908358509567,0.03200371057513915,0.6518207282913165,0.6301917005323978,0.6711914953728565,0.9870058059165054,0.054901960784313725,,,,3617,1047,196,2327,47
open3dsg,consensus,source,20,0.19889224572004027,0.11456400742115028,0.5379835327015691,0.5188549594553022,0.5557196724556265,0.9828981523896778,0.10330899487338822,,,,6549,2309,665,3463,112
open3dsg,consensus,source,50,0.4043303121852971,0.22634508348794063,0.45957820738137084,0.441259508352247,0.4780485790179079,0.9777395922830586,0.1308515737338233,,,,12803,5127,1638,5753,285
open3dsg,consensus,source,100,0.5110775427995972,0.34137291280148424,0.40874171114345786,0.3971841480193157,0.4198181551431083,0.9779359430604982,0.13828238719068414,,,,25290,11203,3420,10109,558
open3dsg,consensus,relcompat3d,5,0.03726082578046324,0.01020408163265306,0.012552301255230125,0.0076465334607236325,0.0184668774717483,0.9853412734768667,0.026499302649930265,-0.819469910683687,-0.8390293970668048,-0.7984405412501854,2183,2067,57,27,32
open3dsg,consensus,relcompat3d,10,0.11379657603222558,0.05983302411873841,0.015997754701094585,0.011282029045367247,0.02127675082190931,0.9850705004147083,0.05529048554588829,-0.635822973590222,-0.6567947270968337,-0.6132877939176848,3617,3309,197,57,54
open3dsg,consensus,relcompat3d,20,0.23615307150050352,0.18320964749536178,0.028969790859798606,0.024742685185819166,0.03330207894788371,0.9856466636127653,0.11696359411309062,-0.5090137418417705,-0.5267634910033323,-0.4901247191529184,6549,5513,755,187,94
open3dsg,consensus,relcompat3d,50,0.4418429003021148,0.29545454545454547,0.04897829371074183,0.043132855142712735,0.054583926898445816,0.9823478872139342,0.1481275343881689,-0.410599913670629,-0.42754587041476155,-0.3928243392039089,12803,10098,1863,616,226
open3dsg,consensus,relcompat3d,100,0.5684793554884189,0.44712430426716143,0.08652528021933716,0.0785541973476616,0.0954782421405759,0.980703835508106,0.1591807112329651,-0.3222164309241207,-0.3360989739547034,-0.30740316094638653,25290,18708,3948,2146,488
sgfn,point,source,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,,,,59,54,0,0,5
sgfn,point,source,10,0.39753272910372606,0.03525046382189239,0.03056768558951965,0.014582575363825364,0.048425360075380265,0.9443298969072165,0.08296943231441048,,,,485,406,38,14,27
sgfn,point,source,20,0.4911883182275932,0.14842300556586271,0.06678966789667896,0.055148080212900116,0.08048455917390011,0.9613338063142959,0.09778597785977859,,,,2819,2264,265,181,109
