source,method,k,recall,recall_ci95_low,recall_ci95_high,violation_all,violation_ci95_low,violation_ci95_high,selected
open3dsg,compatibility_only_all_families,5,0.017119838872104734,0.012975207332977485,0.021645849687165677,0.012773722627737226,0.007664233576642336,0.01897810218978102,2740
open3dsg,compatibility_only_all_families,10,0.045568982880161125,0.038998275263129024,0.05268520422354009,0.014781021897810219,0.010579379562043797,0.019347627737226272,5480
open3dsg,compatibility_only_all_families,20,0.1107754279959718,0.09982696431873067,0.12244414615340161,0.01425438596491228,0.011255284640249512,0.01744037491791006,10944
open3dsg,compatibility_only_all_families,50,0.3366062437059416,0.3155836268507816,0.35772110924964223,0.018716380517279495,0.015889911782190735,0.021348827302074883,27142
open3dsg,compatibility_only_all_families,100,0.5725075528700906,0.5482680062846275,0.5964339684007517,0.03218568519496191,0.0287756444412382,0.03554330028235112,53036
sgfn,source_score,5,0.3116817724068479,0.293303079691814,0.3295453576766274,0.023722627737226276,0.01824817518248175,0.03030109489051094,2740
sgfn,source_score,10,0.39753272910372606,0.37547101454445264,0.4199701170106119,0.034854014598540144,0.029562043795620437,0.04069343065693431,5480
sgfn,source_score,20,0.4911883182275932,0.4674789818546921,0.514513733183673,0.03220802919708029,0.028284671532846715,0.036409671532846716,10960
sgfn,source_score,50,0.7401812688821753,0.7137662002425043,0.7638046267424135,0.03846715328467153,0.03532664233576643,0.04175273722627737,27400
sgfn,source_score,100,0.9234642497482377,0.9041475901756365,0.9410368213674891,0.06297445255474453,0.05968841240875912,0.06651505474452556,54800
sgfn,all_family_product,5,0.31067472306143,0.2927913899707574,0.3290604291969666,0.024817518248175182,0.01897810218978102,0.031386861313868614,2740
sgfn,all_family_product,10,0.40558912386706947,0.38480544769174213,0.4274677462175407,0.03193430656934307,0.026820255474452555,0.037773722627737226,5480
sgfn,all_family_product,20,0.5118328298086606,0.48877798317039134,0.5355546642858139,0.027554744525547445,0.023996350364963503,0.031204379562043794,10960
sgfn,all_family_product,50,0.770392749244713,0.7446458210997606,0.7939425560609871,0.0258029197080292,0.02346624087591241,0.02821259124087591,27400
sgfn,all_family_product,100,0.9413393756294058,0.9233581537561161,0.9577168911665522,0.03713503649635037,0.03474406934306569,0.0397992700729927,54800
sgfn,rank_average_all_families,5,0.1717019133937563,0.1577450304175691,0.18530593024849942,0.025182481751824817,0.01824817518248175,0.032481751824817516,2740
sgfn,rank_average_all_families,10,0.28675730110775427,0.268845414750619,0.30414334911752045,0.022992700729927006,0.017883211678832115,0.028471715328467147,5480
sgfn,rank_average_all_families,20,0.43982880161127896,0.4181706489855175,0.4614809621733484,0.020894160583941605,0.0177007299270073,0.024637317518248176,10960
sgfn,rank_average_all_families,50,0.7298590130916415,0.7082393234423691,0.7529787808489004,0.02094890510948905,0.01872080291970803,0.023432481751824816,27400
sgfn,rank_average_all_families,100,0.9458710976837865,0.9301719920456265,0.9605233773590035,0.026916058394160582,0.02470757299270073,0.029197536496350363,54800
sgfn,rrf_all_families,5,0.19234642497482377,0.17791164911221433,0.20644982484190022,0.025547445255474453,0.018613138686131386,0.032481751824817516,2740
sgfn,rrf_all_families,10,0.3162134944612286,0.2974122068627119,0.33519130064971,0.02408759124087591,0.01915602189781022,0.029384124087591237,5480
sgfn,rrf_all_families,20,0.486908358509567,0.4644831490686115,0.509561727358702,0.02281021897810219,0.019343065693430656,0.026824817518248174,10960
sgfn,rrf_all_families,50,0.7139979859013091,0.6904919291766547,0.7392728354363414,0.021021897810218976,0.018721715328467156,0.02339507299270073,27400
sgfn,rrf_all_families,100,0.9063444108761329,0.8880404558874248,0.9234975634529453,0.02667883211678832,0.02448859489051095,0.029124543795620437,54800
sgfn,pooled_product,5,0.31419939577039274,0.2968235729468204,0.33173355274125965,0.023722627737226276,0.017883211678832115,0.030291970802919708,2740
sgfn,pooled_product,10,0.4078549848942598,0.3874407806562251,0.42972117090001877,0.032481751824817516,0.02737226277372263,0.038503649635036497,5480
sgfn,pooled_product,20,0.5158610271903323,0.49210206381790067,0.5390713777344559,0.027828467153284672,0.02435903284671533,0.03157162408759124,10960
sgfn,pooled_product,50,0.7925478348439073,0.7665879562438241,0.816273489975095,0.02916058394160584,0.026604927007299273,0.03186131386861314,27400
sgfn,pooled_product,100,0.9413393756294058,0.9231489796010847,0.9579023753176942,0.04636861313868613,0.04364872262773723,0.04954607664233577,54800
sgfn,hard_rule_filter,5,0.31545820745216513,0.2969583694966514,0.33450450730487563,0.0,0.0,0.0,2740
sgfn,hard_rule_filter,10,0.40130916414904333,0.3796876202468743,0.4234984449273374,0.0,0.0,0.0,5480
