source,method,k,violation_all,violation_decidable,uncertainty_rate,pessimistic_violation,decidable_coverage,status_coverage,selected,satisfied,uncertain,violated,other
open3dsg,all_family_product,20,0.04358552631578947,0.05601221230624706,0.22185672514619884,0.2654422514619883,0.7781432748538012,1.0,10944,8039,2428,477,0
open3dsg,all_family_product,50,0.029032495763024097,0.03786459084138196,0.2332547343600324,0.2622872301230565,0.7667452656399676,1.0,27142,20023,6331,788,0
open3dsg,all_family_product,100,0.033958066219171884,0.04667012179321068,0.27238102420997057,0.3063390904291425,0.7276189757900294,1.0,53036,36789,14446,1801,0
open3dsg,rank_average_all_families,5,0.022627737226277374,0.027790228597041687,0.18576642335766425,0.2083941605839416,0.8142335766423358,1.0,2740,2169,509,62,0
open3dsg,rank_average_all_families,10,0.03083941605839416,0.038823799678382724,0.20565693430656934,0.2364963503649635,0.7943430656934306,1.0,5480,4184,1127,169,0
open3dsg,rank_average_all_families,20,0.0360014619883041,0.04604417436017296,0.21811038011695907,0.25411184210526316,0.781889619883041,1.0,10944,8163,2387,394,0
open3dsg,rank_average_all_families,50,0.03960651388991231,0.05212626678950686,0.24018126888217523,0.27978778277208755,0.7598187311178247,1.0,27142,19548,6519,1075,0
open3dsg,rank_average_all_families,100,0.052681197677049554,0.07453846974709209,0.29323478392035596,0.34591598159740555,0.706765216079644,1.0,53036,34690,15552,2794,0
open3dsg,rrf_all_families,5,0.020437956204379562,0.02562929061784897,0.20255474452554745,0.222992700729927,0.7974452554744526,1.0,2740,2129,555,56,0
open3dsg,rrf_all_families,10,0.03083941605839416,0.039671361502347416,0.22262773722627738,0.2534671532846715,0.7773722627737226,1.0,5480,4091,1220,169,0
open3dsg,rrf_all_families,20,0.05884502923976608,0.07863247863247863,0.25164473684210525,0.31048976608187134,0.7483552631578947,1.0,10944,7546,2754,644,0
open3dsg,rrf_all_families,50,0.09472404391717633,0.1261902424658879,0.24935524279714097,0.3440792867143173,0.7506447572028591,1.0,27142,17803,6768,2571,0
open3dsg,rrf_all_families,100,0.07883324534278603,0.11211219263668785,0.29683611132061244,0.37566935666339846,0.7031638886793876,1.0,53036,33112,15743,4181,0
open3dsg,pooled_product,5,0.05218978102189781,0.06982421875,0.25255474452554744,0.30474452554744524,0.7474452554744525,1.0,2740,1905,692,143,0
open3dsg,pooled_product,10,0.058394160583941604,0.07710843373493977,0.2427007299270073,0.3010948905109489,0.7572992700729927,1.0,5480,3830,1330,320,0
open3dsg,pooled_product,20,0.05436769005847953,0.07205134415112618,0.2454312865497076,0.29979897660818716,0.7545687134502924,1.0,10944,7663,2686,595,0
open3dsg,pooled_product,50,0.052759560828236685,0.06959564541213063,0.24191290251271091,0.2946724633409476,0.7580870974872891,1.0,27142,19144,6566,1432,0
open3dsg,pooled_product,100,0.07474168489328004,0.10242894056847546,0.2703069613092993,0.34504864620257936,0.7296930386907007,1.0,53036,34736,14336,3964,0
open3dsg,hard_rule_filter,5,0.0,0.0,0.4740875912408759,0.4740875912408759,0.525912408759124,1.0,2740,1441,1299,0,0
open3dsg,hard_rule_filter,10,0.0,0.0,0.4085432639649507,0.4085432639649507,0.5914567360350493,1.0,5478,3240,2238,0,0
open3dsg,hard_rule_filter,20,0.0,0.0,0.3946069469835466,0.3946069469835466,0.6053930530164534,1.0,10940,6623,4317,0,0
open3dsg,hard_rule_filter,50,0.0,0.0,0.4634227444025715,0.4634227444025715,0.5365772555974285,1.0,27066,14523,12543,0,0
open3dsg,hard_rule_filter,100,0.0,0.0,0.47220955854418356,0.47220955854418356,0.5277904414558164,1.0,52644,27785,24859,0,0
open3dsg,family_product_continuity,5,0.04051094890510949,0.051081454210768526,0.20693430656934306,0.24744525547445256,0.7930656934306569,1.0,2740,2062,567,111,0
open3dsg,family_product_continuity,10,0.044343065693430654,0.055568259775897556,0.202007299270073,0.24635036496350365,0.797992700729927,1.0,5480,4130,1107,243,0
open3dsg,family_product_continuity,20,0.04303728070175439,0.055113503393400425,0.2191154970760234,0.2621527777777778,0.7808845029239766,1.0,10944,8075,2398,471,0
open3dsg,family_product_continuity,50,0.028885122688084887,0.03753351206434316,0.23041780266745265,0.25930292535553756,0.7695821973325473,1.0,27142,20104,6254,784,0
open3dsg,family_product_continuity,100,0.03388264575005657,0.04646052019235741,0.2707217738894336,0.30460441963949014,0.7292782261105664,1.0,53036,36881,14358,1797,0
open3dsg,compatibility_only_all_families,5,0.012773722627737226,0.01808785529715762,0.2937956204379562,0.30656934306569344,0.7062043795620438,1.0,2740,1900,805,35,0
open3dsg,compatibility_only_all_families,10,0.014781021897810219,0.01941980340445936,0.23886861313868613,0.25364963503649635,0.7611313868613139,1.0,5480,4090,1309,81,0
