seed,estimator,source,k,recall,violation
20260715,mlp,vlsat,50,0.9274924471299094,0.02072992700729927
20260715,mlp,vlsat,100,0.9652567975830816,0.03403284671532847
20260715,mlp,open3dsg,5,0.03675730110775428,0.014634146341463415
20260715,mlp,open3dsg,10,0.1163141993957704,0.02776735459662289
20260715,mlp,open3dsg,20,0.2366565961732125,0.033583489681050654
20260715,mlp,open3dsg,50,0.4564451158106747,0.03536567052109926
20260715,mlp,open3dsg,100,0.5936555891238671,0.03399298406161824
20260715,mlp,sgfn,5,0.3116817724068479,0.023722627737226276
20260715,mlp,sgfn,10,0.39753272910372606,0.03467153284671533
20260715,mlp,sgfn,20,0.4916918429003021,0.02947080291970803
20260715,mlp,sgfn,50,0.7464753272910373,0.02645985401459854
20260715,mlp,sgfn,100,0.9305135951661632,0.03976277372262774
20260716,linear,vlsat,5,0.4206948640483384,0.00145985401459854
20260716,linear,vlsat,10,0.6339375629405841,0.0056569343065693434
20260716,linear,vlsat,20,0.8081570996978852,0.011405109489051095
20260716,linear,vlsat,50,0.9277442094662638,0.019744525547445255
20260716,linear,vlsat,100,0.9657603222557906,0.02948905109489051
20260716,linear,open3dsg,5,0.03726082578046324,0.009380863039399626
20260716,linear,open3dsg,10,0.11379657603222558,0.02326454033771107
20260716,linear,open3dsg,20,0.23615307150050352,0.031332082551594746
20260716,linear,open3dsg,50,0.4418429003021148,0.03423937528157381
20260716,linear,open3dsg,100,0.5684793554884189,0.03239151986578205
20260716,linear,sgfn,5,0.3116817724068479,0.023722627737226276
20260716,linear,sgfn,10,0.39753272910372606,0.03467153284671533
20260716,linear,sgfn,20,0.4914400805639476,0.029744525547445257
20260716,linear,sgfn,50,0.7449647532729103,0.026313868613138686
20260716,linear,sgfn,100,0.9302618328298087,0.03501824817518248
20260716,mlp,vlsat,5,0.4204431017119839,0.00145985401459854
20260716,mlp,vlsat,10,0.6344410876132931,0.0051094890510948905
20260716,mlp,vlsat,20,0.8089123867069486,0.010675182481751824
20260716,mlp,vlsat,50,0.9272406847935549,0.017883211678832115
20260716,mlp,vlsat,100,0.9652567975830816,0.026751824817518248
20260716,mlp,open3dsg,5,0.03700906344410876,0.01200750469043152
20260716,mlp,open3dsg,10,0.11606243705941591,0.02551594746716698
20260716,mlp,open3dsg,20,0.24295065458207452,0.0325515947467167
20260716,mlp,open3dsg,50,0.4556898288016113,0.03499023877459078
20260716,mlp,open3dsg,100,0.5886203423967774,0.033268512163501865
20260716,mlp,sgfn,5,0.3116817724068479,0.023722627737226276
20260716,mlp,sgfn,10,0.39753272910372606,0.03467153284671533
20260716,mlp,sgfn,20,0.4919436052366566,0.02947080291970803
20260716,mlp,sgfn,50,0.7462235649546828,0.02532846715328467
20260716,mlp,sgfn,100,0.9295065458207452,0.03171532846715328
20260717,linear,vlsat,5,0.4206948640483384,0.00145985401459854
20260717,linear,vlsat,10,0.6339375629405841,0.0056569343065693434
20260717,linear,vlsat,20,0.8081570996978852,0.011405109489051095
20260717,linear,vlsat,50,0.9277442094662638,0.019744525547445255
20260717,linear,vlsat,100,0.9657603222557906,0.02948905109489051
20260717,linear,open3dsg,5,0.03726082578046324,0.009380863039399626
20260717,linear,open3dsg,10,0.11379657603222558,0.02326454033771107
20260717,linear,open3dsg,20,0.23615307150050352,0.031332082551594746
20260717,linear,open3dsg,50,0.4418429003021148,0.03423937528157381
20260717,linear,open3dsg,100,0.5684793554884189,0.03239151986578205
20260717,linear,sgfn,5,0.3116817724068479,0.023722627737226276
20260717,linear,sgfn,10,0.39753272910372606,0.03467153284671533
20260717,linear,sgfn,20,0.4914400805639476,0.029744525547445257
20260717,linear,sgfn,50,0.7449647532729103,0.026313868613138686
20260717,linear,sgfn,100,0.9302618328298087,0.03501824817518248
20260717,mlp,vlsat,5,0.4211983887210473,0.00145985401459854
20260717,mlp,vlsat,10,0.6346928499496476,0.0051094890510948905
20260717,mlp,vlsat,20,0.8089123867069486,0.010675182481751824
20260717,mlp,vlsat,50,0.9272406847935549,0.017627737226277373
20260717,mlp,vlsat,100,0.9652567975830816,0.02664233576642336
20260717,mlp,open3dsg,5,0.03751258811681772,0.01575984990619137
20260717,mlp,open3dsg,10,0.11782477341389729,0.028705440900562852
20260717,mlp,open3dsg,20,0.24169184290030213,0.03442776735459662
20260717,mlp,open3dsg,50,0.4566968781470292,0.03649196576062472
20260717,mlp,open3dsg,100,0.5964249748237663,0.03486997635933806
20260717,mlp,sgfn,5,0.3116817724068479,0.023722627737226276
20260717,mlp,sgfn,10,0.39753272910372606,0.03467153284671533
20260717,mlp,sgfn,20,0.4919436052366566,0.02947080291970803
20260717,mlp,sgfn,50,0.7459718026183283,0.025145985401459854
20260717,mlp,sgfn,100,0.9295065458207452,0.031441605839416055
20260718,linear,vlsat,5,0.4206948640483384,0.00145985401459854
20260718,linear,vlsat,10,0.6339375629405841,0.0056569343065693434
20260718,linear,vlsat,20,0.8081570996978852,0.011405109489051095
20260718,linear,vlsat,50,0.9277442094662638,0.019744525547445255
20260718,linear,vlsat,100,0.9657603222557906,0.02948905109489051
20260718,linear,open3dsg,5,0.03726082578046324,0.009380863039399626
20260718,linear,open3dsg,10,0.11379657603222558,0.02326454033771107
20260718,linear,open3dsg,20,0.23615307150050352,0.031332082551594746
