source,method,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
open3dsg,exact_scalar_held_out,50,0.4380664652567976,0.40783761097911714,0.46869944036444083,0.03423937528157381,0.03122215622215622,0.037491188490299525
open3dsg,exact_scalar_held_out,100,0.5687311178247734,0.5406010093662079,0.5983213687363954,0.03246778006558377,0.02967625308215965,0.035250700273613954
open3dsg,primitive_family_held_out,5,0.03474320241691843,0.02794424382779129,0.04221511151903189,0.2559099437148218,0.2333939665177386,0.27705290086797624
open3dsg,primitive_family_held_out,10,0.10473313192346426,0.09172823351174214,0.11789765481077587,0.18198874296435272,0.16767271541244144,0.1961540139616056
open3dsg,primitive_family_held_out,20,0.20619335347432025,0.18760573957045648,0.2247010387663778,0.12786116322701688,0.11823180109364319,0.13677785326086955
open3dsg,primitive_family_held_out,50,0.4118831822759315,0.38472302224509497,0.44088789246048676,0.09539720678780597,0.09012781289434219,0.10049251388673486
open3dsg,primitive_family_held_out,100,0.5264350453172205,0.49926306171115287,0.5561958402709508,0.09553496530160908,0.09132911277059938,0.09982676201114517
open3dsg,alternative_evidence_only,5,0.03474320241691843,0.027649489371451258,0.042531134412433405,0.3099437148217636,0.2888446013107812,0.3300908498860306
open3dsg,alternative_evidence_only,10,0.1054884189325277,0.09195962749645852,0.11930487554423724,0.22851782363977485,0.21364931214421254,0.2434957873157321
open3dsg,alternative_evidence_only,20,0.20568982880161127,0.1872133219732291,0.22529681855081163,0.1601313320825516,0.15079572482199263,0.1698099418622775
open3dsg,alternative_evidence_only,50,0.41037260825780464,0.38093951441695295,0.4424740379310228,0.11938729538969815,0.11449316436033295,0.12448685113044505
open3dsg,alternative_evidence_only,100,0.5327291037260826,0.5022181255103662,0.565704357054565,0.11883245634103562,0.11461766088740129,0.1228374595369826
sgfn,source_score,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,source_score,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.034854014598540144,0.028863965453499837,0.040588289559366185
sgfn,source_score,20,0.4911883182275932,0.4601074871348928,0.5212718603656369,0.03220802919708029,0.027957734087017096,0.03693970531717096
sgfn,source_score,50,0.7401812688821753,0.7037006685539878,0.7730803413143434,0.03846715328467153,0.03496353400550935,0.04224772628135223
sgfn,source_score,100,0.9234642497482377,0.8901156787811928,0.9518074721497024,0.06297445255474453,0.05929541949742745,0.06727149725274725
sgfn,main_route,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,main_route,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,main_route,20,0.4914400805639476,0.4606296581922173,0.5215547394180561,0.029744525547445257,0.02556528835190702,0.03402290991239566
sgfn,main_route,50,0.7449647532729103,0.7085377830198571,0.7784243179853569,0.026313868613138686,0.023877527796753298,0.029111844956289688
sgfn,main_route,100,0.9302618328298087,0.8971812196691454,0.9591371111882477,0.03501824817518248,0.03230485188735223,0.03791144994969819
sgfn,exact_scalar_held_out,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,exact_scalar_held_out,10,0.39753272910372606,0.36680982246436855,0.4266242687070999,0.03467153284671533,0.028623207647371217,0.04040720683924397
sgfn,exact_scalar_held_out,20,0.4914400805639476,0.4603867583416941,0.5220946895396013,0.029653284671532845,0.02551876331156579,0.03392906562994201
sgfn,exact_scalar_held_out,50,0.7464753272910373,0.7096817194413348,0.7805677100326669,0.026751824817518248,0.024252034506831555,0.029586727735846332
sgfn,exact_scalar_held_out,100,0.9300100704934542,0.8968652271762839,0.9587117127879977,0.03576642335766423,0.03304317343173432,0.03860525895140665
sgfn,primitive_family_held_out,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,primitive_family_held_out,10,0.39702920443101714,0.3660694176319176,0.4261265615185986,0.034854014598540144,0.028863965453499837,0.040588289559366185
sgfn,primitive_family_held_out,20,0.4919436052366566,0.46071839711530954,0.5222895241786234,0.032481751824817516,0.028218244814265575,0.037243806235151396
sgfn,primitive_family_held_out,50,0.7467270896273918,0.7109795461905106,0.7790145484505419,0.03875912408759124,0.035326314566992444,0.042530836151746056
sgfn,primitive_family_held_out,100,0.9297583081570997,0.8980720887828372,0.9573345518316123,0.06156934306569343,0.057865410986528996,0.0658429802955665
sgfn,alternative_evidence_only,5,0.3116817724068479,0.285943131687629,0.33586364551070613,0.023722627737226276,0.0180845180584311,0.030035843762496964
sgfn,alternative_evidence_only,10,0.3972809667673716,0.3665586792149292,0.4264282240860687,0.034854014598540144,0.028863965453499837,0.040588289559366185
sgfn,alternative_evidence_only,20,0.49244712990936557,0.4608660124095449,0.5225890100103391,0.03220802919708029,0.027957203183368525,0.03681636157444293
sgfn,alternative_evidence_only,50,0.7462235649546828,0.7088874636102632,0.7800366823333649,0.03864963503649635,0.035227479945216196,0.04261271716150381
sgfn,alternative_evidence_only,100,0.9277442094662638,0.8946415314023993,0.9559808115012178,0.062481751824817515,0.05878385750106701,0.06680476886661098
